Cubic Hermite Curve Points:
t=0.00 -> (0.000, 0.000)  
t=0.10 -> (0.100, 0.028)  
t=0.20 -> (0.200, 0.104)  
t=0.30 -> (0.300, 0.216)  
t=0.40 -> (0.400, 0.352)  
t=0.50 -> (0.500, 0.500)  
t=0.60 -> (0.600, 0.648)
t=0.70 -> (0.700, 0.784)
t=0.80 -> (0.800, 0.896)
t=0.90 -> (0.900, 0.972)
t=1.00 -> (1.000, 1.000)

Cubic Bezier Curve Points:
t=0.00 -> (0.000, 0.000)
t=0.10 -> (0.093, 0.287)
t=0.20 -> (0.190, 0.450)
t=0.30 -> (0.292, 0.518)
t=0.40 -> (0.395, 0.525)
t=0.50 -> (0.500, 0.500)
t=0.60 -> (0.605, 0.475)
t=0.70 -> (0.708, 0.482)
t=0.80 -> (0.810, 0.550)
t=0.90 -> (0.907, 0.713)
t=1.00 -> (1.000, 1.000)
