Customer_ID,State,Age,Shop_Category,Sales
1234,MP,10,Grocery,10
1235,UP,21,Dairy,30
1236,AP,23,Deli,50
1237,RP,25,Meat,70
1238,DP,27,Clothes,90
1239,KP,29,Electronics,110
1240,MP,31,Grocery,130
1241,UP,33,Dairy,150
1242,AP,35,Deli,170
1243,RP,37,Meat,190
1244,DP,39,Clothes,210
1245,KP,41,Electronics,230
1246,MP,43,Grocery,250
1247,UP,45,Dairy,270
1248,AP,47,Deli,290
1249,RP,20,Meat,32
1250,DP,22,Clothes,52
1251,KP,24,Electronics,72
1252,MP,26,Electronics,92
1253,UP,28,Electronics,112
1254,AP,30,Electronics,132
1255,RP,32,Grocery,152
2342,DP,34,Dairy,172
2343,KP,36,Deli,192
2344,MP,38,Meat,212
2345,UP,40,Clothes,232
2346,AP,42,Electronics,252
2212,RP,44,Electronics,272
9876,DP,46,Dairy,292
9878,KP,48,Deli,312
9880,MP,50,Meat,332
9882,UP,52,Clothes,352
9884,AP,54,Electronics,372
9886,RP,56,Grocery,392
9888,DP,58,Dairy,412
9890,KP,60,Deli,432
9892,MP,62,Meat,452
9894,UP,64,Dairy,65
9896,AP,66,Dairy,85
9898,RP,68,Deli,105
9900,DP,70,Meat,125
9902,KP,72,Clothes,145
9904,MP,74,Electronics,165
9906,UP,76,Grocery,185
9908,AP,78,Dairy,205
9910,RP,80,Deli,225
9912,DP,82,Meat,245
9914,KP,84,Dairy,265
9916,MP,20,Deli,285
9918,UP,22,Meat,305
9920,AP,24,Clothes,325
9922,RP,26,Electronics,345
9924,DP,28,Grocery,365
9926,KP,30,Clothes,385
9928,DP,32,Clothes,405
9930,DP,34,Dairy,425
9932,DP,36,Dairy,445
9934,KP,38,Dairy,465
9936,RP,40,Grocery,485
9938,DP,10,Dairy,505
9940,DP,12,Deli,89
9942,DP,14,Meat,109
9944,KP,16,Clothes,129
9946,RP,18,Electronics,149
9948,DP,20,Clothes,169
9950,DP,22,Grocery,189
9952,DP,24,Dairy,209
9954,KP,26,Deli,229
9956,RP,28,Meat,249
9958,DP,30,Clothes,269
9960,DP,32,Electronics,289
9962,DP,34,Clothes,309
9964,KP,36,Clothes,329
9966,RP,38,Clothes,349
9968,DP,40,Clothes,369
9970,DP,42,Clothes,389
9972,DP,44,Electronics,409
9974,KP,46,Electronics,429
9976,RP,48,Electronics,449
9978,DP,50,Electronics,469
9980,DP,52,Electronics,489
9982,DP,54,Electronics,509
9984,KP,56,Electronics,529
9986,RP,58,Electronics,549
9988,AP,60,Electronics,569
9990,AP,62,Grocery,589
8642,AP,64,Dairy,609
8654,AP,66,Deli,629
8666,AP,68,Meat,649
8678,AP,70,Clothes,669
8690,AP,72,Electronics,689
8702,DP,30,Electronics,709
8714,KP,32,Electronics,100
8726,RP,34,Clothes,120
8738,DP,36,Clothes,140
8750,DP,38,Clothes,160
8762,DP,40,Meat,180
8774,KP,42,Clothes,200
8786,RP,44,Electronics,220
8798,AP,46,Electronics,240
8810,AP,48,Electronics,260
8822,AP,50,Meat,280
8834,AP,52,Meat,300
8846,AP,54,Meat,320
8858,AP,56,Meat,340
8870,AP,58,Meat,360
8882,DP,60,Meat,380
8894,KP,62,Clothes,400
8906,RP,64,Clothes,420
8921,DP,66,Clothes,440
8936,DP,68,Clothes,460
8951,DP,70,Clothes,480
8966,KP,72,Clothes,500
1249,RP,20,Meat,32
1250,DP,22,Clothes,52
1251,KP,24,Electronics,72
1252,MP,26,Electronics,92
1253,UP,28,Electronics,112
1254,AP,30,Meat,132
1255,RP,32,Clothes,152
2342,DP,34,Electronics,172
2343,KP,36,Electronics,192
2344,MP,38,Electronics,212
2345,UP,40,Grocery,232
2346,AP,42,Dairy,252
2212,RP,44,Deli,272
9876,DP,46,Meat,292
9878,KP,48,Clothes,312
9880,MP,50,Electronics,332
9882,UP,52,Clothes,352
9884,AP,54,Electronics,372
9886,RP,56,Grocery,392
9888,DP,58,Dairy,412
9890,KP,60,Deli,432
9892,MP,62,Deli,452
9894,UP,64,Meat,65
9896,AP,66,Clothes,85
9898,RP,68,Meat,105
9900,DP,70,Clothes,125
9902,KP,72,Electronics,145
9904,MP,74,Grocery,165
9906,UP,76,Dairy,185
9908,AP,78,Deli,205
9910,RP,80,Meat,225
9912,DP,82,Clothes,245
9914,KP,84,Electronics,265
9916,MP,20,Deli,285
9918,UP,22,Meat,305
9920,AP,24,Clothes,325
9922,RP,26,Electronics,345
9924,DP,28,Grocery,365
9926,KP,30,Clothes,385
9928,DP,32,Clothes,405
9930,DP,34,Dairy,425
9932,DP,36,Dairy,445
9934,KP,38,Dairy,465
9936,RP,40,Grocery,485
9938,DP,42,Dairy,505
9940,DP,44,Deli,89
9942,DP,46,Meat,109
9944,KP,48,Clothes,129
9946,RP,50,Electronics,149
9948,DP,52,Dairy,169
9950,DP,54,Dairy,189
9952,DP,56,Deli,209
9954,KP,58,Meat,229
9956,RP,60,Clothes,249
9958,DP,62,Electronics,269
9960,DP,64,Grocery,289
9962,DP,66,Dairy,309
9964,KP,68,Deli,329
9966,RP,70,Meat,349
9968,DP,72,Meat,89
9970,DP,74,Clothes,109
9972,DP,76,Electronics,129
9974,KP,78,Electronics,149
9976,RP,80,Electronics,169
9978,DP,82,Grocery,189
9980,DP,84,Dairy,209
9982,DP,86,Deli,229
9984,KP,88,Meat,76
9986,RP,90,Clothes,96
9988,AP,92,Electronics,116
9990,AP,94,Clothes,136
8642,AP,96,Electronics,156
8654,AP,98,Electronics,176
8666,AP,100,Electronics,196
8678,AP,102,Clothes,216
8690,AP,104,Clothes,236
8702,DP,30,Clothes,256
8714,KP,32,Grocery,54
8726,RP,34,Dairy,74
8738,DP,36,Deli,94
8750,DP,38,Meat,114
8762,DP,40,Clothes,134
8774,KP,42,Electronics,154
8786,RP,44,Meat,174
8798,AP,46,Meat,194
8810,AP,48,Meat,214
8822,AP,50,Grocery,234
8834,AP,52,Dairy,254
8846,AP,54,Deli,274
8858,AP,56,Meat,294
8870,AP,58,Clothes,314
8882,DP,60,Electronics,334
8894,KP,62,Clothes,354
8906,RP,64,Clothes,34
8921,DP,66,Clothes,54
8936,DP,68,Clothes,74
8951,DP,70,Meat,94
8966,KP,72,Clothes,114
1234,MP,10,Electronics,10
1235,UP,21,Electronics,30
1236,AP,23,Electronics,50
1237,RP,25,Meat,70
1238,DP,27,Clothes,90
1239,KP,29,Electronics,110
1240,MP,31,Grocery,130
1241,UP,33,Deli,87
1242,AP,35,Meat,107
1243,RP,37,Grocery,127
1244,DP,39,Dairy,147
1234,MP,10,Deli,10
1235,UP,21,Meat,30
1236,AP,23,Clothes,50
1237,RP,25,Electronics,70
1238,DP,27,Clothes,90
1239,KP,29,Electronics,110
1240,MP,31,Grocery,130
1241,UP,33,Dairy,150
1242,AP,35,Deli,170
1243,RP,37,Meat,190
1244,DP,39,Clothes,210
1234,MP,10,Grocery,10
1235,UP,21,Dairy,30
1236,AP,23,Deli,50
1237,RP,25,Meat,92
1238,DP,27,Clothes,112
1239,KP,29,Electronics,132
1240,MP,31,Grocery,152
1241,UP,33,Dairy,172
1242,AP,35,Deli,192
1243,RP,37,Meat,212
1244,DP,39,Deli,232
1250,DP,41,Deli,252
1251,KP,43,Meat,272
1252,MP,45,Clothes,292
1253,UP,47,Grocery,312
1254,AP,49,Dairy,332
1255,RP,51,Deli,352
2342,DP,53,Meat,372
2343,KP,55,Clothes,392
2344,MP,57,Electronics,67
2345,UP,59,Electronics,87
2346,AP,61,Electronics,107
2212,RP,63,Electronics,127
9876,DP,65,Dairy,147
9878,KP,67,Deli,167
9880,MP,69,Meat,187
9882,UP,71,Clothes,207
9884,AP,73,Electronics,227
9886,RP,75,Grocery,247
9888,DP,77,Deli,267
9890,KP,79,Meat,287
9892,MP,81,Clothes,307
9894,UP,83,Electronics,12
9896,AP,85,Dairy,32
9898,RP,87,Deli,52
9900,DP,89,Deli,72
9902,KP,91,Meat,92
9904,MP,93,Clothes,112
9906,UP,95,Electronics,132
9908,AP,97,Dairy,152
9910,RP,99,Grocery,172
9912,DP,101,Dairy,192
9914,KP,103,Deli,212
9916,MP,20,Meat,232
9918,UP,22,Clothes,252
9920,AP,24,Electronics,272
9922,RP,26,Electronics,292
9924,DP,28,Grocery,70
9914,KP,30,Dairy,90
9916,MP,20,Deli,110
9918,UP,22,Meat,130
9920,AP,24,Deli,150
9922,RP,26,Meat,170
9924,DP,28,Clothes,190
9926,KP,30,Electronics,210
9928,DP,32,Clothes,230
9930,DP,34,Dairy,250
9932,DP,36,Dairy,270
9934,KP,38,Deli,290
9936,RP,40,Meat,310
9938,DP,42,Clothes,330
9940,DP,20,Electronics,89
9942,DP,22,Dairy,109
9944,KP,24,Dairy,129
9946,RP,26,Clothes,149
9948,DP,28,Clothes,169
9950,DP,30,Clothes,189
9952,DP,32,Clothes,209
9954,KP,34,Clothes,229
9956,RP,36,Clothes,249
9958,DP,38,Grocery,269
9960,DP,40,Dairy,289
9962,DP,42,Deli,309
9964,KP,44,Meat,329
9966,RP,46,Clothes,349
9968,DP,48,Electronics,369
9970,DP,50,Clothes,389
9972,DP,52,Electronics,409
9974,KP,54,Electronics,429
